N_stages,feed_stage,feed_stage_ratio,reflux_ratio,z_feed_benzene,feed_temperature_K,feed_pressure_Pa,feed_quality_q,feed_vapor_fraction,xD_distillate_purity,xB_bottoms_purity,Qc_condenser_duty_kW,Qr_reboiler_duty_kW,bubble_point_T_K,relative_volatility
23,6,0.261,3.7751,0.1289,353.46,98355.0,0.8151,0.1849,0.72803,0.00624,0.708,1.472,450.0,1.9965
20,10,0.5,4.3155,0.3425,342.16,104748.0,0.6242,0.3758,0.70303,0.03329,2.144,2.639,450.0,1.9965
20,10,0.5,3.7294,0.3105,379.84,104793.0,0.8527,0.1473,0.68463,0.02875,1.777,2.302,450.0,1.9965
7,4,0.571,3.6566,0.3881,387.82,92094.0,0.7138,0.2862,0.55699,0.08282,2.649,2.975,450.0,1.9965
24,11,0.458,3.3982,0.1701,337.04,120703.0,0.7213,0.2787,0.91834,0.00449,0.685,1.325,300.0,2.9638
5,2,0.4,3.9614,0.8496,346.79,106660.0,0.8247,0.1753,0.89109,0.54234,3.762,3.868,450.0,1.9965
24,9,0.375,1.4661,0.543,339.94,122887.0,0.9681,0.0319,0.95504,0.02644,1.175,1.428,300.0,2.9638
15,6,0.4,4.4997,0.3444,354.36,124014.0,0.532,0.468,0.80578,0.02269,1.958,2.38,300.0,2.9638
21,12,0.571,4.4617,0.4176,361.52,98480.0,0.9124,0.0876,0.76864,0.04118,2.456,2.9,450.0,1.9965
12,6,0.5,0.9228,0.4578,382.42,116294.0,0.6462,0.3538,0.62182,0.10605,1.153,1.227,300.0,2.9638
8,3,0.375,4.2684,0.5805,375.58,108891.0,0.722,0.278,0.69626,0.19209,3.547,3.756,450.0,1.9965
10,7,0.7,1.3413,0.5125,373.46,125206.0,0.511,0.489,0.64708,0.14529,1.504,1.597,300.0,2.9638
12,6,0.5,2.2075,0.8355,354.67,98630.0,0.6505,0.3495,0.88091,0.51367,2.422,2.531,450.0,1.9965
24,8,0.333,3.9227,0.4976,388.9,117113.0,0.7513,0.2487,0.95056,0.02203,2.16,2.339,300.0,2.9638
7,2,0.286,1.4752,0.8937,362.99,114310.0,0.5281,0.4719,0.92306,0.64467,1.901,1.868,300.0,2.9638
20,6,0.3,4.2355,0.7811,398.54,101812.0,0.7455,0.2545,0.86294,0.33823,3.813,3.953,450.0,1.9965
7,2,0.286,4.295,0.2668,374.39,95464.0,0.9636,0.0364,0.46917,0.04273,2.475,2.911,450.0,1.9965
22,7,0.318,2.9314,0.8445,338.84,116066.0,0.5527,0.4473,0.9765,0.14007,2.831,2.892,300.0,2.9638
18,6,0.333,0.8268,0.1931,377.33,119544.0,0.8822,0.1178,0.6513,0.0136,0.451,0.823,300.0,2.9638
22,8,0.364,2.0056,0.754,352.76,102625.0,0.7048,0.2952,0.83067,0.3467,2.187,2.33,450.0,1.9965
6,2,0.333,3.3911,0.4045,378.04,115793.0,0.8276,0.1724,0.56886,0.08963,2.547,2.596,300.0,2.9638
7,4,0.571,4.921,0.8024,334.87,105805.0,0.6301,0.3699,0.85692,0.45234,4.422,4.542,450.0,1.9965
20,5,0.25,3.4536,0.7944,342.24,118528.0,0.5797,0.4203,0.97065,0.09996,3.038,3.129,300.0,2.9638
13,6,0.462,1.8912,0.7447,389.9,97969.0,0.5802,0.4198,0.81519,0.36316,2.113,2.253,450.0,1.9965
8,3,0.375,3.4628,0.732,345.9,125609.0,0.5352,0.4648,0.80599,0.346,3.246,3.294,300.0,2.9638
5,3,0.6,3.0679,0.3437,388.59,101496.0,0.5928,0.4072,0.52487,0.06616,2.181,2.543,450.0,1.9965
8,2,0.25,4.0754,0.1647,349.55,104711.0,0.8321,0.1679,0.39527,0.02036,1.749,2.314,450.0,1.9965
5,2,0.4,1.2493,0.4224,375.0,92324.0,0.9408,0.0592,0.58181,0.09752,1.331,1.632,450.0,1.9965
18,13,0.722,3.9963,0.2388,378.59,94460.0,0.9071,0.0929,0.56086,0.02511,1.761,2.313,450.0,1.9965
25,17,0.68,3.0733,0.656,365.89,110634.0,0.8426,0.1574,0.75092,0.25852,2.862,3.036,450.0,1.9965
20,13,0.65,4.8446,0.3769,351.37,100704.0,0.5552,0.4448,0.72107,0.03882,2.526,2.99,450.0,1.9965
24,9,0.375,2.2359,0.8805,344.89,123419.0,0.6446,0.3554,0.97902,0.19767,2.417,2.422,300.0,2.9638
12,4,0.333,3.457,0.6128,332.32,90588.0,0.6549,0.3451,0.71965,0.21842,3.06,3.253,450.0,1.9965
11,6,0.545,4.7145,0.758,351.28,105164.0,0.625,0.375,0.82478,0.38193,4.199,4.334,450.0,1.9965
7,5,0.714,1.2305,0.206,375.72,103494.0,0.7575,0.2425,0.42516,0.02835,0.891,1.399,450.0,1.9965
21,11,0.524,4.7364,0.7896,395.68,90773.0,0.7678,0.2322,0.89333,0.27078,4.114,4.265,450.0,1.9965
5,2,0.4,3.6891,0.8382,390.98,94975.0,0.6784,0.3216,0.88286,0.51903,3.543,3.652,450.0,1.9965
20,7,0.35,1.0849,0.4896,383.62,106546.0,0.6769,0.3231,0.68097,0.10019,1.224,1.525,450.0,1.9965
16,10,0.625,2.064,0.585,385.19,109715.0,0.9143,0.0857,0.69954,0.19561,2.069,2.275,450.0,1.9965
23,7,0.304,3.7743,0.7118,376.55,106172.0,0.8946,0.1054,0.89084,0.13773,3.133,3.35,450.0,1.9965
18,7,0.389,1.0829,0.2399,348.22,111238.0,0.6539,0.3461,0.44967,0.03595,0.915,1.381,450.0,1.9965
10,4,0.4,3.2451,0.5021,393.5,113805.0,0.9569,0.0431,0.63949,0.13896,2.704,2.593,300.0,2.9638
